Sents;Class;;;;;
Potential costs in the event of nondelivery or inadequate quality: The higher such costs and the greater the risk of incurring them, the less latitude the company has for rapidly shifting supply sources or delaying negotiations or contracts.;0;;;;;
These costs influence required inventory levels and safety stocks, but they mainly affect production.;0;;;;;
Changing a source of supply might, for example, make it necessary to modify the production process.;0;;;;;
In the case of materials for highly automated production processes, the costs of such modification could be prohibitive.;0;;;;;
No list of evaluation criteria is equally applicable to every industry: a petrochemicals producer and an automobile manufacturer would each have its own modifications to those shown in the exhibit.;0;;;;;
Moreover, the relative importance of different criteria may vary with technological change or with shifts in the industry's competitive dynamics.;0;;;;;
Careful definition of the criteria of both supplier and company strength is a prerequisite to accurate market analysis.;0;;;;;
The purchasing portfolio matrix plots company buying strength against the strengths of the supply market and can be used to develop counterstrategies key suppliers' an approach sometimes called reverse marketing.;0;;;;;
The cells in the purchasing portfolio matrix correspond to three basic risk categories, each associated with a different strategic thrust.;0;;;;;
Usually, a company will find itself in different roles with respect to different items and suppliers.;0;;;;;
The end product will be a set of systematically documented strategies for critical purchasing materials that specify the timing of and criteria for future action.;0;;;;;
The usefulness of the purchasing portfolio approach in a variety of industrial situations can be seen in the diverse experiences of four large companies.;0;;;;;
Not long ago a welding materials producer with plants and sales operations all over Europe found its profits squeezed by increased competition and slackening market growth.;0;;;;;
Searching for ways to improve the picture, the company found that supplies were critical to the production of its welding wires and electrodes.;0;;;;;
Together, just five out of the 470 different items it purchased accounted for more than 60% of the company's total purchasing volume of $135 million.;0;;;;;
Taking into account demand growth, quality standards, and logistics, the company then analyzed the European market for these five items in light of its own plant-by-plant requirements.;0;;;;;
A third step determined the company's position against a wide range of individual suppliers and assessed the risk of increasing the share sourced from each one.;0;;;;;
Finally, the company developed several strategic supply scenarios, each involving a different mix of suppliers and different assumptions about price, volume, and risk.;0;;;;;
The scenarios ranged from very low risk (total dependence on well-established sources) to very high (most purchases from lesser-known, geographically dispersed suppliers).;0;;;;;
Cost-benefit analyses of each enabled management to pinpoint several opportunities for substantial improvement.;0;;;;;
On one key item alone, electrode wire, the company's potential annual savings ranged from $1.5 million to $6.3 million, or 3% to 12% of the total cost.;0;;;;;
Supply strategies the company worked out for other key items resulted in an overall saving of 10% on purchased materials, adding some 3% to 4% to the company's pretax profits.;0;;;;;
Action plans and decision and monitoring rules developed for each item enabled buyers to implement the new sourcing strategy and permitted management to monitor purchasing activities regularly, in some cases on a day-by-day or bid-by-bid basis.;0;;;;;
A large U.S.-based maker of electrical equipment categorized castings as a key strategic purchased item and systematically analyzed its own demand in terms of the annual volume and relative complexity of each type of casting.;0;;;;;
It assessed the capabilities of each potential supplier and decided, by comparing alternative supply scenarios, which was the best fit.;1;;;;;
The resulting new mix of outside suppliers reduced the company's outlays for castings by 5% to 15% and significantly improved its competitive cost position.;0;;;;;
Anxious to reduce the risks associated with current sources of feedstock supply, a multinational chemical company revamped its entire purchasing strategy and organization.;0;;;;;
Its risk profile, however, gave real cause for concern.;0;;;;;
Examining the supply market, it identified a group of obscure, small manufacturers of precision parts that had begun to use dedicated, numerically controlled equipment.;0;;;;;
Few companies today can allow purchasing to be managed in isolation from the other elements of their overall business systems.;0;;;;;
Greater integration, stronger cross-functional relations, and more top-management involvement are all necessary.;0;;;;;
Every facet of the purchasing organization, from systems support to top-management style, will ultimately need to adapt to these requirements.;0;;;;;
Concrete changes in the organization will be required to establish effective organizational relations, provide adequate systems support, and meet the new staff and skills requirements.;0;;;;;
In particular, top management must decide to what extent it should centralize or decentralize the function.;0;;;;;
The issue is not clear-cut.;0;;;;;
While centralization augments a company's purchasing clout, it is also more inflexible.;0;;;;;
To find the right balance, companies must carefully consider trade-offs between clout and flexibility.;0;;;;;
One diversified multinational corporation, for example, successfully centralized purchasing of basic materials but found that it could not do the same with technical goods because of heterogeneous production facilities, varying national standards, and differentiated service and parts demands.;0;;;;;
Another important issue is purchasing's position in the corporate structure.;0;;;;;
Should the company treat it as a function of production or of operating divisions?;0;;;;;
Should management set it up as a central independent department or division or position it as part of the materials management function or even of a supply division?;0;;;;;
The answer will depend on factors such as volume and concentration of purchased goods as well as on the corporation's structure and complexity.;0;;;;;
Different corporate philosophies lead to different solutions.;0;;;;;
One international chemical company, for example, formed a central supply group with world-wide responsibility for all raw materials, feedstocks, and energy-related activities, while a major competitor went for all-out decentralization and gave each division its own purchasing group.;0;;;;;
Though diametrically opposed, both solutions made sense in their respective contexts.;0;;;;;
The purchasing department's structure should reflect supply-product market affinities and permit staff with specialized competence to take the lead in working out strategies for specific items.;0;;;;;
The company should encourage flexibility and entrepreneurship in its managers within the constraints of the overall corporate structure.;0;;;;;
Systems Support Too often the purchasing department receives information on the company's business plans and objectives that is incomplete or improperly geared to the tasks and time horizons of strategic supply management.;0;;;;;
Purchasing executives are usually informed of major expansion and investment projects as well as month-to-month production requirements but often lack adequate operating information with a three- to six-month time horizon, which would provide early warning of short- to medium-term demand fluctuations.;0;;;;;
The purchasing department needs these data for negotiating prices, rescheduling supply quantities, and balancing raw material inventories in response to cyclical demand swings.;0;;;;;
Complex companies with numerous products, multiple plants, and substantial production for stock (as in the consumer goods or chemical industries) are more vulnerable than are companies with a single product line and or considerable job-order production, such as industrial equipment manufacturers.;0;;;;;
In either case, tailor-made systems support will be called for.;0;;;;;
Improvement of operational flexibility through a rolling demand forecast system with a three- to six- month time horizon, coupled with systematic evaluation of supply market data. ;0;;;;;
Improved efficiency, shortened through put time, and reduction in costs and manual paperwork through EDP-supported purchasing planning, information, and disposition systems. ;0;;;;;
Integration of purchasing systems with other corporate systems, such as liquidity planning, and/or with the corresponding planning and disposition systems of key suppliers.;0;;;;;
The most familiar example is the so-called Kanban system, which allows the Japanese automaker Nissan to work with practically no parts or work-in-process inventories.;0;;;;;
Recently, however, U.S. and European car manufacturers are moving in the same direction. ;0;;;;;
Improved systems support frees buyers and management from preoccupation with day-to-day problems and enables them to focus on long-term analytic work and planning.;0;;;;;
Additional benefits include price reduction or savings, inventory reduction, reduced clerical work, and better delivery and service.;0;;;;;
The company will realize these benefits only if it uses the systems effectively.;0;;;;;
It must foster consistent, cross-functional information flows and demands and induce line managers to supply the required data for the purchasing information system.;0;;;;;
One way to reduce their instinctive resistance is to show them that most of the data already exist and need only be recast in an appropriate format.;0;;;;;
Finally, management must make certain that any major new systems are user-friendly.;0;;;;;
To meet the demands of the new supply strategy, the company must also upgrade the skills and experience it requires of key purchasing people.;0;;;;;
One big international company vastly improved the status of the purchasing division by promoting a dynamic sales executive with broad international expertise to head it.;0;;;;;
To loosen its design department's grip on supplier selection decisions, another organization hired away an expert applications engineer from a specialized process-control manufacturer and put him in charge of the purchasing department.;0;;;;;
Top management should foster a constructive atmosphere and attitude among purchasing staff before undertaking any radical staff changes.;0;;;;;
Progress toward effective supply management can only be gradual, and the company will have to surmount many obstacles to implementation along the way.;0;;;;;
But the rewards are well worth the effort.;0;;;;;
"An attitude of purchasing as usual will make the company vulnerable to competitive pressure; but enhanced strategic awareness, greater flexibility, and stronger entrepreneurial thinking in the supply area can improve the supply security and lower the input costs of any industrial company.";0;;;;;
These products are characterized by sourcing from local suppliers.;1;;;;;
Noncritical items are usually sourced decentralized.;1;;;;;
Noncritical resources include standardized products with low supply risks.;1;;;;;
Noncritical item purchases are characterized by functional efficiency.;1;;;;;
Established local suppliers can easily supply buyers.;1;;;;;
Noncritical items are usually of low profit impact and low supply risk.;1;;;;;
Where noncritical items are concerned, simple market analyses, decision policies, and inventory optimization models will normally suffice.;1;;;;;
For supply items with neither major visible risks nor major benefits, a defensive posture would be over conservative and costly.;1;;;;;
Undue aggressiveness could damage supplier relations and lead to retaliation.;2;;;;;
A company should pursue a well-balanced intermediate strategy balance.;1;;;;;
Introduction of proven purchasing analysis approaches, such as commodity analysis or value analysis, to help develop action plans for nonstrategic purchased items with limited supply complexity and risk but up to 15% savings potential.;1;;;;;
Substantial savings through standardization and alternative sourcing of process-control equipment.;1;;;;;
Only after consolidating and combining these volumes at the corporate level could the company bring its true bargaining weight to bear.;2;;;;;
A manufacturer that relies solely on spot purchases may do well to mix spot purchases and supply contracts.;2;;;;;
If the company covers a large percentage of its supplies from sources it owns, it will be in a much better negotiating position to cover the remainder of its outside requirements than its less-integrated competitors.;2;;;;;
The company may find it more profitable to source outside if suppliers have chronic overcapacity.;2;;;;;
Leverage items are characterized by exploitation of full purchasing power.;2;;;;;
Purchases are often done by contract and spot purchasing mix.;2;;;;;
Often there are targeted pricing strategies and tough negotiations.;2;;;;;
Products are easily substituted are are therefore replaceable.;2;;;;;
Vendors can be selected according to need.;2;;;;;
Purchasing decisions are normally done decentralized.;2;;;;;
These items can be sourced chiefly local.;2;;;;;
Normally there are multiple suppliers.;2;;;;;
Often these items include a mix of commodities and specified materials.;2;;;;;
Items are characterized by a good cost to price mix.;2;;;;;
Buyer power is high.;2;;;;;
Usually you can find many alternative suppliers in this market.;2;;;;;
Order volume optimization, short- to medium-term demand planning.;2;;;;;
These items are usually of medium level, e.g. chief buyer.;2;;;;;
Leverage items have a high profit impact and a low supply risk.;2;;;;;
On items where the company plays a dominant market role and suppliers' strength is rated medium or low, a reasonably aggressive strategy exploit is indicated.;2;;;;;
Components are sourced aggressively.;2;;;;;
Because the supply risk is slight, the company has a better chance of achieving a positive profit contribution through favorable pricing and contract agreements.;2;;;;;
It has to take care not to exploit the advantage too aggressively that it jeopardizes long-term supplier relationships or provokes counter reactions by insisting on rock-bottom prices in times of market discontinuity.;2;;;;;
When it can bargain from a position of strength, it should press for preferential treatment.;2;;;;;
If the company is stronger than the suppliers, it can spread volume over several suppliers, exploit price advantages, increase spot purchases, and reduce inventory levels.;2;;;;;
"In this phase, then, the company should explore a range of supply scenarios in which it lays out its options for securing long-term supply and for exploiting short-term opportunities; clearly define respective risks, costs, returns, and strategic implications; and develop a preferred option with objectives, steps, responsibilities, and contingency measures laid out in detail for top management approval and implementation.";0;;;;;
They can explout power by getting price advanteges.;2;;;;;
Detailed analysis of both demand and supply confirmed that, thanks to the sheer volume of its purchases, the company enjoyed a strong position in most feedstock supply markets.;2;;;;;
Volume bundling is a common strategy.;2;;;;;
A corporate-level review revealed attractive trade-off and substitution opportunities, which the corporation soon set about exploiting, once it had changed and upgraded its purchasing organization and systems in order to do so.;2;;;;;
Optimize sourcing by bundling volumes to exploit price advantages.;2;;;;;
Effective relations to exploit the company's full buying and bargaining power, the purchasing function must reflect the overall corporate setup.;2;;;;;
Despite the potential leverage to be obtained through improved purchasing staff and skills, hasty moves in this area can backfire, especially if they disrupt close relationships with suppliers.;2;;;;;
Threats of resource depletion and raw materials scarcity, political turbulence and government intervention in supply markets, intensified competition, and accelerating technological change have ended the days of no surprises.;3;;;;;
How can a company guard against disastrous supply interruptions and cope with the changing economics and new opportunities brought on by new technologies?;3;;;;;
The greater the uncertainty of supplier relationships, technological developments, and physical availability of those items, the more important supply management becomes.;3;;;;;
Can the company avoid anticipated supply bottlenecks and interruptions.;3;;;;;
When an automotive parts maker analyzed its sintered metal components supply market, from which it had been sourcing for years, it discovered that political instability was jeopardizing its supply.;3;;;;;
Volume insurance are bought at cost premiums if necessary.;3;;;;;
 Backup plans have to created to ensure supply. ;3;;;;;
items are usually managed by higher management levels like the department heads.;3;;;;;
Bottleneck items are usually sourced focused on cost management.;3;;;;;
For scarce components usually buyers try to find short term suppliers.;3;;;;;
There is a production based scarcity.;3;;;;;
Suppliers can artificially shorten supply to create bottlenecks. ;3;;;;;
Usually suppliers offer new technological innovations.;3;;;;;
Components are often only avaible from a few suppliers. ;3;;;;;
Bottleneck items are characterized by low profit impact, but high supply risk.;3;;;;;
Decisions about bottleneck items may require specific market analysis and decision models for resolution.;3;;;;;
Vendor and value analysis, price forecasting models, and decision models may come into play on issues affecting leverage materials.;2;;;;;
Suppliers' capacity utilization is often low.;3;;;;;
 This criterion indicates the risk of supply bottlenecks.;3;;;;;
In a cyclical upswing, with suppliers' production running at low of capacity, the probability of a bottleneck in the supply of a strategic item is extremely high.;3;;;;;
Electronics manufacturers that have neither their own chip-production facilities nor adequate contractual coverage have nightmares whenever demand for microchips heats up.;3;;;;;
A European aircraft manufacturer had specified high-grade titanium alloys for certain applications but had failed to reckon with potential supply bottlenecks.;3;;;;;
After a series of production setbacks and cost increases, it has now switched back to specialty steels.;0;;;;;
The supplier will prove a tougher bargainer, it can more easily delay negotiations and accept capacity underutilization.;3;;;;;
 It can more easily delay negotiations and accept capacity underutilization.;3;;;;;
If a product is unique, the probability is less that alternative sources or suppliers will appear or that supplier competition will force cost reductions.;3;;;;;
Unique products have few alternative suppliers, which weakens the buyers position.;3;;;;;
If the company plans a major expansion or an aggressive sales strategy for a product line where supplies are tight or suppliers' capacities fully used, it may be able to cover the higher materials requirements only by paying a price premium.;3;;;;;
On items where the company's role in the supply market is secondary and suppliers are strong, the company must go on the defensive and start looking for material substitutes or new suppliers diversify.;3;;;;;
It may have to increase spending on market research or supplier relations, or even consider backward integration through major investments in R&D or production capacities.;3;;;;;
In short, the company needs its supply options.;0;;;;;
A buyer may even have to consider backward integration trhough major investments in Research and Development.;3;;;;;
Bargaining from weakness, the company may have to offer inducements longer-term contract obligations, or higher prices in order to ensure an adequate supply.;3;;;;;
To reduce the long-term risk of dependence on a single source, the company should also search for alternative suppliers or materials or even consider backward integration to permit in-house production.;3;;;;;
"Accordingly, the company spread its hydrocarbons procurement among petroleum- and coal-based feed- stocks; balanced its geographic base among Middle Eastern, African, North Sea, North American, and Latin American sources; changed its contracts-to- spot-purchases ratio; optimized its make-or-buy mix by integrating backward; and began to rely on wholly owned subsidiaries for a bigger share of its feedstock requirements.";0;;;;;
Supply bottlenecks, short-term demand fluctuations, and ad hoc purchasing decisions are inevitable.;3;;;;;
In turn, the company incurs higher time and money costs, penalties for unfulfilled contract terms, excessive inventories, and disruption in purchasing activities, all of which force buyers to spend their time troubleshooting.;0;;;;;
Through contracts that include long-term shipping charters with suppliers in distant countries, the steel industry has secured cost advantages over its chief U.S. and European competitors.;4;;;;;
This reflects a long-term approach to supply security that other chemical companies in the United States and Europe have used to good advantage.;4;;;;;
Cabot Corporation, faced with growing scarcity of chromium, vanadium, niobium, titanium, and other metals critical to its operations, set up a mineral resources division that developed an overall corporate supply strategy and explored new options, ranging from the purchase of ore in the ground to the start-up of joint ventures for primary metal processing.;0;;;;;
They also acquired a London-based trading company to supplement existing purchasing skills with special trading expertise and access to the London metals market.;4;;;;;
To ensure long-term availability of critical materials and components at competitive cost, a host of manufacturers will have to come to grips with the risks and complexities of global sourcing.;4;;;;;
A company that meets annual materials requirements exclusively through long-term contracts may achieve substantial savings through the use of contracts that include a rollover option.;4;;;;;
Long-term agreements, like annual agreements, are done to create an advantage for both supplier and buyer.;4;;;;;
Some companies have all reduced their supply vulnerability through backward integration in response to long-term considerations.;3;;;;;
To what extent might cooperation with suppliers or even competitors strengthen long-term supply relationships or capitalize on shared resources?;4;;;;;
Companies share the production of certain critical car components that they could not produce cost-effectively on their own.;4;;;;;
General is increasingly involving suppliers early in the design process in order to ensure better quality, lower cost, and just in time production.;4;;;;;
Strategic items, natural scarcity, governed by long-term strategic impact. ;4;;;;;
These components are characterized by long-term strategic impacts.;4;;;;;
For strategic items a natural scarcity exists.;4;;;;;
Strategic products are of high profit impact and high supply risk.;4;;;;;
The company may need to support supply decisions of strategic items with analytic techniques, including market analysis, risk analysis, computer simulation and optimization models, price forecasting, and various other kinds of microeconomic analysis.;4;;;;;
Strategic items require intensive analysis to get as much information as possible.;4;;;;;
In many companies over the past few years, raw materials have graduated to strategic.;4;;;;;
Often strategic products are characterized by unique attributes, like quality or performance.;4;;;;;
This is a function of natural scarcity, as in certain strategic metals and minerals, high technological sophistication, or entry barriers in the form of high R&D or facility investments.;4;;;;;
It can then identify areas of opportunity or vulnerability, assess supply risks, and derive basic strategic thrusts for these items.;4;;;;;
Faced with sharp rises in the labor and overhead costs of producing high-precision parts in-house, a Europe-based heavy-equipment maker decided to review its make-or-buy strategy.;0;;;;;
Thanks to low overhead and economies of scale achieved through specialized production, they could supply high-quality parts at prices 10% to 20% below the cost of in-house production.;0;;;;;
In consequence, the company shifted from making the parts to buying them.;0;;;;;
For strategic items where the supplier's strength outweighs the company's and the indicated strategy is diversification, the company should consolidate its supply position by concentrating fragmented purchased volumes in a single supplier, accept high prices, and cover the full volume requirements through supply contracts.;3;;;;;
Purchasing portfolio models have received much attention in the recent literature about professional purchasing.;0;;;;;
One of the most famous portfolio models was introduced.;0;;;;;
His model has had a broad influence on professional purchasing.;0;;;;;
It also inspired many academic writers to undertake further research into portfolio models.;0;;;;;
Other scholars have introduced variations of the original Kraljic matrix.;0;;;;;
The proposed matrices are very similar to the Kraljic matrix in that they employ comparable dimensions, and derive equivalent recommendations.;0;;;;;
Typically, these matrices give only one recommendation for each portfolio quadrant, namely.;0;;;;;
Form partnerships for strategic products.;4;;;;;
Assure supply for bottleneck products.;3;;;;;
Exploit power for leverage products and ensure efficient processing for non-critical products.;2;;;;;
However, a recent study into the actual use of the matrix by professional purchasers pointed out that purchasers make a clear distinction between several strategies within each quadrant.;0;;;;;
Purchasers identify.;0;;;;;
Strategies to hold their position in the quadrant and strategies to move to another position.;0;;;;;
However, the conditions determining the choice for a specific purchasing strategy within a quadrant are yet unclear.;0;;;;;
The fundamental assumption of all portfolio models seems to be the occurrence of differences in power and dependence between buyers and suppliers.;0;;;;;
Kraljic does not explicitly deal with issues of power and dependence.;0;;;;;
However, some of his recommendations obviously refer to the power structure.;0;;;;;
Others are aimed at reducing the dependence on suppliers.;0;;;;;
Moreover, Kraljic stated that the general idea of the portfolio approach is to minimize supply vulnerability and make the most of potential buying power.;0;;;;;
It seems that power and dependence play a significant role in the Kraljic approach.;0;;;;;
The relative power and dependence position of buyers and suppliers are therefore expected to be factors of importance in explaining the conditions that influence the choice of purchasing strategy within each quadrant.;0;;;;;
Until now little is known about the conditions that influence the choice of purchasers to either hold their position in the quadrant or move.;0;;;;;
Moreover, little is known about the way in which power and dependence in buyer-supplier relationships enter the Kraljic matrix.;0;;;;;
Empirical research on the impact of power and dependence on buyer-supplier relationships is even scarcer.;0;;;;;
Therefore, it is critically important to examine the power and dependence positions of buyers and suppliers for the various purchasing strategies that have been identified in each quadrant of the portfolio matrix.;0;;;;;
The goal of this paper is to empirically test several hypotheses that are deduced from the literature on power and dependence.;0;;;;;
This will be done with respect to the purchasing strategies in each quadrant of the Kraljic purchasing portfolio matrix.;0;;;;;
In order to do this we have defined the concepts of power and dependence in terms of buyer s and supplier s dependence.;0;;;;;
Subsequently, we have developed constructs for buyer s dependence as well as supplier s dependence.;0;;;;;
Our empirical analysis is founded on a survey among 250 purchasing professionals.;0;;;;;
On the basis of the survey data we have assessed power and interdependence in buyer-supplier relationships.;0;;;;;
In general terms this study contributes to a better understanding of the power and interdependence in buyer-supplier relationships.;0;;;;;
The organization of the paper is as follows.;0;;;;;
First we will give a brief overview of the Kraljic approach and, on the basis of recent literature, we will identify hypotheses with respect to power and dependence for each strategy used in practice.;0;;;;;
Furthermore, we will operationalize power and dependence into measurable variables and formulate hypotheses.;0;;;;;
In Section 3 we will present our survey design and design constructs for our key variables.;0;;;;;
The results of our survey are presented in Section 4.;0;;;;;
Section 5 will conclude and give suggestions for further research.;0;;;;;
Kraljic advised managers to guard their firms against damaging supply interruptions and to deal with continuous technological change and economics growth.;3;;;;;
In his seminal paper he called attention to the need for companies to attain more effective supply management.;0;;;;;
He proclaimed that purchasing must become supply management.;0;;;;;
In his article he presents a figure in matrix format that classifies the stages of purchasing sophistication within companies.;0;;;;;
The matrix identifies four stages purchasing management.;0;;;;;
Materials management.;0;;;;;
Sourcing management.;0;;;;;
Supply management.;0;;;;;
Kraljic argues that supply management is particularly relevant in the case that the supply market is complex and the importance of purchasing is high.;0;;;;;
In the second part of his article Kraljic proposes a four-stage approach as a framework for developing supply strategies for single products or product groups.;0;;;;;
The company weighs the bargaining power of its suppliers against its own power.;0;;;;;
The company positions the products that were identified as strategic, often with high profit impact and high supply risk.;4;;;;;
It develops purchasing strategies and action plans for these strategic products, depending on its own strength and the strength of the supply market.;0;;;;;
Three general purchasing strategies are recommended.;0;;;;;
Exploit the power position, if there is buyer dominance.;2;;;;;
In a strategic partnership the powers are balanced.;4;;;;;
Purchasers should diversify in case of supplier dominance.;3;;;;;
It should be noted that Kraljic focuses on strategic products, for the other item categories Kraljic merely formulated a number ofmain tasks.;0;;;;;
Other scholars have filled this gap.;0;;;;;
They have formulated strategic recommendations, resulting in an overall purchasing strategy recommendation for each portfolio quadrant.;0;;;;;
This matrix is commonly referred to as Kraljic s portfolio matrix.;0;;;;;
With the help of this matrix, professional purchasers can differentiate between the various supplier relations and choose strategies that are appropriate for each category and thereby effectively manage suppliers.;0;;;;;
A recent study by Gelderman and Van Weele paid attention to the experience of purchasing professionals with the use of the portfolio matrix in practice.;0;;;;;
On the basis of three in-depth case studies they found that practitioners distinguish between several separate purchasing strategies within each portfolio quadrant.;0;;;;;
Some of these strategies focused on keeping the current position in the quadrant, while other strategies were directed towards moving to another position.;0;;;;;
It gives an overview of strategic directions for all categories.;0;;;;;
While Gelderman and Van Weele showed that several strategies per quadrant occur in practice, the conditions determining the choice for a specific purchasing strategy remained an issue for further research.;0;;;;;
In the literature on buyer-supplier relationships it is generally acknowledged that power and interdependence issues are fundamental to the way in which buyers and suppliers interact.;0;;;;;
It is reasonable to assume that power and dependence issues will also underpin the choice for a specific purchasing strategy.;0;;;;;
Each purchasing strategy identified by Gelderman and Van Weele gives rise to hypotheses on the importance of power and dependence.;0;;;;;
We will revisit the strategies and connect them to the power and interdependence balance.;0;;;;;
Firms always depend, to varying extents, on their trading partner.;0;;;;;
Early studies on dependence focused on the effects for the buyer of its dependence on the supplier, without taking into account the supplier s dependence.;0;;;;;
More recent studies have incorporated dependence from the perspective of the buyer as well as the supplier.;0;;;;;
In other words, dependence is mutual.;0;;;;;
Mutual dependence and power are closely related concepts.;0;;;;;
The buyer s dependence on the supplier is a source of power for the supplier, and vice versa.;0;;;;;
A well-known definition is that the relative power of an organization over another is the result of the net dependence of the one on the other.;0;;;;;
If A depends on B more than B depends on A, then B has power over A.;0;;;;;
They define relative power as the dependence of one party compared to the dependence of the other party.;0;;;;;
Anderson use the term relative dependence to refer to the difference between a firm s dependence on its partner and its partner s dependence on the firm.;0;;;;;
The primary consequence of relative dependence is indicated as power.;0;;;;;
Buchanan conceptualized power-dependence imbalances in buyer-supplier relationships as the difference in value that buyers and sellers attach to the relationship.;0;;;;;
In asymmetric relationships, the most independent partner dominates the exchange.;0;;;;;
Balanced relationships refer to domination of neither party.;0;;;;;
They use the term interdependence asymmetry, which is defined as the difference between the two partner s levels of dependence.;0;;;;;
Symmetrical interdependence exists when parties are equally dependent on each other.;0;;;;;
Buyer-supplier relationships that are characterized by asymmetric interdependence are more dysfunctional because the independent partner experiences high power and will be attempted to exploit.;0;;;;;
In the long term the position of the weaker party will be eroded too much and the partnership will be destroyed.;2;;;;;
